幼稚園_分類,幼稚園_園名,幼稚園_住所,幼稚園_URL,幼稚園_緯度,幼稚園_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
私立,たちばな幼稚園,和歌山県和歌山市西819,https://www.gaccom.jp/kindergarten-9887.html,34.2084813,135.2191258,和歌山県和歌山市西,岡崎地区,第5ブロック,南東部地域,6
私立,安原幼稚園,和歌山県和歌山市松原212,https://www.gaccom.jp/kindergarten-9888.html,34.190802,135.2322373,和歌山県和歌山市松原,安原地区,第5ブロック,南東部地域,6
私立,つくし幼保園（幼）,和歌山県和歌山市吉礼486-1,https://www.gaccom.jp/kindergarten-9897.html,34.2018112,135.2405769,和歌山県和歌山市吉礼,西山東地区,第5ブロック,南東部地域,6
私立,片男波こども園（幼）,和歌山県和歌山市和歌浦南2-11-8,https://www.gaccom.jp/kindergarten-99141.html,34.1867775,135.1687875,和歌山県和歌山市和歌浦南1,和歌浦地区,第7ブロック,南部地域,7
私立,ようすい子ども園（幼）,和歌山県和歌山市西浜1218-3,https://www.gaccom.jp/kindergarten-99142.html,34.1951881,135.1546587,和歌山県和歌山市西浜,雑賀地区,第7ブロック,南部地域,7
私立,さつきこども園（幼）,和歌山県和歌山市中島70-8,https://www.gaccom.jp/kindergarten-99143.html,34.2123531,135.1887592,和歌山県和歌山市中島,宮前地区,第6ブロック,中心部地域,1
私立,広瀬幼保園（幼）,和歌山県和歌山市片岡町1－2,https://www.gaccom.jp/kindergarten-99144.html,34.2242831,135.1747474,和歌山県和歌山市片岡町1,広瀬地区,第10ブロック,中心部地域,1
私立,新堀こども園（幼）,和歌山県和歌山市新堀東2－1－25,https://www.gaccom.jp/kindergarten-99145.html,34.2143215,135.1757713,和歌山県和歌山市新堀東1,高松地区,第8ブロック,中心部地域,1
私立,まことなるたきこども園（幼）,和歌山県和歌山市園部381,https://www.gaccom.jp/kindergarten-99146.html,34.2683731,135.1889948,和歌山県和歌山市園部,有功地区,第3ブロック,北東部地域,4
私立,むつみこども園（幼）,和歌山県和歌山市砂山南3丁目2－21,https://www.gaccom.jp/kindergarten-99149.html,34.2157081,135.1607862,和歌山県和歌山市砂山南1,砂山地区,第8ブロック,中心部地域,1
私立,しょうぶこども園（幼）,和歌山県和歌山市吉礼53番地の6,https://www.gaccom.jp/kindergarten-99150.html,34.2022843,135.235596,和歌山県和歌山市吉礼,西山東地区,第5ブロック,南東部地域,6
私立,ひまわりこども園（幼）,和歌山県和歌山市有本431番地,https://www.gaccom.jp/kindergarten-99151.html,34.2510533,135.1982344,和歌山県和歌山市有本,四箇郷地区,第4ブロック,東部地域,5
私立,第２ひまわりこども園,和歌山県和歌山市栄谷58番地の2,https://www.gaccom.jp/kindergarten-99152.html,34.2551921,135.1567391,和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域,3
私立,こひつじこども園（幼）,和歌山県和歌山市木ノ本1230番地の2,https://www.gaccom.jp/kindergarten-99153.html,34.26467,135.1225314,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
私立,木ノ本こども園（幼）,和歌山県和歌山市木ノ本300－1,https://www.gaccom.jp/kindergarten-99154.html,34.2583013,135.1263352,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
私立,じろうまるこども園（幼）,和歌山県和歌山市次郎丸107番地の1,https://www.gaccom.jp/kindergarten-99157.html,34.2546956,135.14736,和歌山県和歌山市次郎丸,貴志地区,第2ブロック,北部地域,3
私立,かんどりこども園（幼）,和歌山県和歌山市平井466－1,https://www.gaccom.jp/kindergarten-99158.html,34.2628422,135.1654231,和歌山県和歌山市平井,楠見地区,第2ブロック,北部地域,3
私立,とうようこども園（幼）,和歌山県和歌山市宇田森67,https://www.gaccom.jp/kindergarten-99160.html,34.260949,135.2466192,和歌山県和歌山市宇田森,紀伊地区,第3ブロック,北東部地域,4
私立,山口こども園（幼）,和歌山県和歌山市谷2,https://www.gaccom.jp/kindergarten-99161.html,34.269993,135.2661457,和歌山県和歌山市谷,山口地区,第3ブロック,北東部地域,4
私立,ほしや子ども園（幼）,和歌山県和歌山市布施屋3－1,https://www.gaccom.jp/kindergarten-102046.html,34.2422108,135.2596907,和歌山県和歌山市布施屋,和佐地区,第4ブロック,東部地域,5
私立,すみれこども園（幼）,和歌山県和歌山市木ノ本321－2,https://www.gaccom.jp/kindergarten-102047.html,34.2578265,135.128149,和歌山県和歌山市木ノ本,木本地区,第1ブロック,北西部地域,2
私立,まことこども園（幼）,和歌山県和歌山市つつじが丘4丁目3－2,https://www.gaccom.jp/kindergarten-103746.html,34.2677962,135.1019015,和歌山県和歌山市つつじが丘1,西脇地区,第1ブロック,北西部地域,2
