小学校_学校名,小学校_生徒数,小学校_教員数,小学校_クラス数_単位生徒数,小学校_住所,小学校_アクセス,小学校_URL,小学校_緯度,小学校_経度,地区_住所,地区_区分,地区_グループ,地区_ブロック,地区_コード
野崎西小学校,324人,21人,14学級/平均23.1人,和歌山県和歌山市梶取301-3,東松江駅から1km,https://www.gaccom.jp/schools-22523.html,34.2509944,135.1514748,和歌山県和歌山市梶取,野崎地区,第2ブロック,北部地域,3
八幡台小学校,456人,27人,19学級/平均24.0人,和歌山県和歌山市西庄1110,西ノ庄駅から1.2km,https://www.gaccom.jp/schools-22524.html,34.2651275,135.1166072,和歌山県和歌山市西庄,木本地区,第1ブロック,北西部地域,2
浜宮小学校,373人,23人,16学級/平均23.3人,和歌山県和歌山市内原778-16,黒江駅から1.3km,https://www.gaccom.jp/schools-22499.html,34.1704555,135.1962899,和歌山県和歌山市内原,名草地区,第7ブロック,南部地域,7
東山東小学校,170人,13人,9学級/平均18.9人,和歌山県和歌山市山東中52-1,山東駅から356m,https://www.gaccom.jp/schools-22510.html,34.2033416,135.2595672,和歌山県和歌山市山東中,東山東地区,第5ブロック,南東部地域,6
広瀬小学校,154人,15人,8学級/平均19.3人,和歌山県和歌山市広瀬中ノ丁1-5,田中口駅から1.3km,https://www.gaccom.jp/schools-22477.html,34.2256375,135.1794464,和歌山県和歌山市広瀬中ノ丁1,広瀬地区,第10ブロック,中心部地域,1
吹上小学校,281人,24人,15学級/平均18.7人,和歌山県和歌山市吹上4丁目1-15,宮前駅から1.8km,https://www.gaccom.jp/schools-22478.html,34.216364,135.1700306,和歌山県和歌山市吹上1,吹上地区,第8ブロック,中心部地域,1
福島小学校,160人,13人,8学級/平均20.0人,和歌山県和歌山市福島135-4,紀ノ川駅から468m,https://www.gaccom.jp/schools-22496.html,34.2514521,135.1638475,和歌山県和歌山市福島,野崎地区,第2ブロック,北部地域,3
藤戸台小学校,928人,51人,34学級/平均27.3人,和歌山県和歌山市栄谷974-245,紀ノ川駅から1.9km,https://www.gaccom.jp/schools-41796.html,34.2696207,135.1548231,和歌山県和歌山市栄谷,貴志地区,第2ブロック,北部地域,3
伏虎義務教育学校,544人,33人,21学級/平均25.9人,和歌山県和歌山市鷺ノ森南ノ丁1,和歌山市駅から432m,https://www.gaccom.jp/schools-87535.html,34.2354308,135.1707253,和歌山県和歌山市鷺ノ森南ノ丁,城北地区,第9ブロック,中心部地域,1
松江小学校,462人,35人,21学級/平均22.0人,和歌山県和歌山市松江北4丁目1-1,中松江駅から400m,https://www.gaccom.jp/schools-22500.html,34.2515617,135.1352682,和歌山県和歌山市松江北1,松江地区,第1ブロック,北西部地域,2
湊小学校,113人,11人,7学級/平均16.1人,和歌山県和歌山市湊2丁目17番40,東松江駅から1.7km,https://www.gaccom.jp/schools-22494.html,34.2331418,135.1446724,和歌山県和歌山市湊,雄湊地区,第9ブロック,中心部地域,1
宮小学校,632人,45人,26学級/平均24.3人,和歌山県和歌山市秋月475番地,日前宮駅から408m,https://www.gaccom.jp/schools-22487.html,34.2253004,135.2062416,和歌山県和歌山市秋月,宮地区,第6ブロック,中心部地域,1
宮北小学校,163人,14人,8学級/平均20.4人,和歌山県和歌山市納定21番地,和歌山駅から582m,https://www.gaccom.jp/schools-22483.html,34.2378995,135.1918407,和歌山県和歌山市納定,宮北地区,第6ブロック,中心部地域,1
宮前小学校,617人,41人,25学級/平均24.7人,和歌山県和歌山市北中島1丁目7番4号,宮前駅から246m,https://www.gaccom.jp/schools-22493.html,34.2123539,135.1861941,和歌山県和歌山市北中島1,宮前地区,第6ブロック,中心部地域,1
安原小学校,561人,33人,22学級/平均25.5人,和歌山県和歌山市江南239,岡崎前駅から1.2km,https://www.gaccom.jp/schools-22511.html,34.1925196,135.2250441,和歌山県和歌山市江南,安原地区,第5ブロック,南東部地域,6
山口小学校,248人,18人,13学級/平均19.1人,和歌山県和歌山市里146,里バス停から238m,https://www.gaccom.jp/schools-22520.html,34.26622460000001,135.2677188,和歌山県和歌山市里,山口地区,第3ブロック,北東部地域,4
和歌浦小学校,185人,14人,8学級/平均23.1人,和歌山県和歌山市和歌浦西2-1-18,紀三井寺駅から1.9km,https://www.gaccom.jp/schools-22492.html,34.1919307,135.1646562,和歌山県和歌山市和歌浦西1,和歌浦地区,第7ブロック,南部地域,7
和佐小学校,309人,22人,15学級/平均20.6人,和歌山県和歌山市祢宜949-2,千旦駅から746m,https://www.gaccom.jp/schools-22508.html,34.2358637,135.249952,和歌山県和歌山市祢宜,和佐地区,第4ブロック,東部地域,5
